timestamp,idx,symbol,side,open,high,low,close,atr,atr_pct,rel_vol,imbalance,imbalance_z,shockflip_z,shock_intensity_z,range_atr,donchian_loc,price_flow_div,prior_flow_sign,div_score,trend_dir,trend_aligned,trend_slope,stall_flag,mfe6_atr,mfe10_atr,mfe20_atr,mfe30_atr,mfe60_atr,mfe120_atr,mfe240_atr,did_snap_H6_K0_5,did_snap_H6_K0_75,did_snap_H6_K1_0,did_snap_H10_K0_5,did_snap_H10_K0_75,did_snap_H10_K1_0,did_snap_H20_K0_5,did_snap_H20_K0_75,did_snap_H20_K1_0,did_snap_H30_K0_5,did_snap_H30_K0_75,did_snap_H30_K1_0,did_snap_H60_K0_5,did_snap_H60_K0_75,did_snap_H60_K1_0,did_snap_H120_K0_5,did_snap_H120_K0_75,did_snap_H120_K1_0,did_snap_H240_K0_5,did_snap_H240_K0_75,did_snap_H240_K1_0,barrier_y_H30_R4p0_sl2p5,did_snap,shock_intensity_z_decile,div_score_decile,rel_vol_decile
2024-12-04 19:17:00+00:00,11237,BTCUSDT,-1,96434.40000000001,96696.8,96434.40000000001,96655.1,92.81499999999966,0.7439509099783836,7.556208267711047,0.5243000522484875,1.8270630130359915,1.8270630130359915,2.827129235545634,2.827129235545634,0.9771017516880048,0.2890293514515696,1,0.0,1,0,3.141932280382361e-05,0,2.078327856488659,2.078327856488659,2.078327856488659,2.078327856488659,2.078327856488659,2.078327856488659,2.078327856488659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,8,8
2024-12-05 02:26:00+00:00,11666,BTCUSDT,-1,98664.3,98869.40000000001,98660.40000000001,98869.40000000001,90.46166666666613,0.7262394533156684,4.119272592101923,0.8239641241312574,2.53314297332997,2.53314297332997,2.53314297332997,2.310370875299197,0.9912880458745198,0.36656373455208546,1,0.0,1,0,1.7987532384777792e-05,0,0.32610498000995086,0.32610498000995086,0.32610498000995086,0.32610498000995086,0.32610498000995086,0.32610498000995086,0.32610498000995086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5
2024-12-05 02:27:00+00:00,11667,BTCUSDT,-1,98869.40000000001,99079.90000000001,98839.90000000001,98999.20000000001,92.7683333333327,0.7431838783906283,10.636572883080444,0.6213641632934976,1.9190404047220078,1.9190404047220078,2.587089703714427,2.587089703714427,0.9272579772841864,-0.3958705902012938,1,0.0,1,0,2.5765735319375574e-05,0,0.8957798099208392,0.8957798099208392,0.8957798099208392,0.8957798099208392,0.8957798099208392,0.8957798099208392,0.8957798099208392,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,3,8,9
2024-12-05 05:40:00+00:00,11860,BTCUSDT,1,102954.0,102966.1,102450.40000000001,102473.90000000001,105.41999999999946,0.8116588801338819,9.087309641607437,-0.5407140331939321,-1.9160456559101957,-1.9160456559101957,4.891861126874481,4.891861126874481,0.018855813207077823,0.6619380772558113,-1,0.0,1,1,0.0001621003240440011,0,0.5150825270347485,0.6820337696831204,2.7158034528552872,3.116107000569168,3.116107000569168,3.116107000569168,7.1618288749763215,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9,8,9
2024-12-05 07:16:00+00:00,11956,BTCUSDT,1,101613.6,101613.6,101359.8,101387.90000000001,82.19333333333489,0.6609720382121191,2.844106768800195,-0.6296174240892566,-2.1956468863673724,-2.1956468863673724,3.08784167406412,3.08784167406412,0.012544082853441009,0.19529102231119344,-1,0.0,-1,0,-9.228771804362287e-05,0,7.286479033173609,9.74409927812449,12.739476032119045,14.585124503203588,16.570686998134164,22.398410252250365,22.398410252250365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,8,3
2024-12-05 08:57:00+00:00,12057,BTCUSDT,-1,102782.20000000001,102988.1,102782.1,102916.70000000001,84.18833333333217,0.6770797015549822,3.143162342290182,0.7445909350043747,2.696058391142516,2.696058391142516,2.696058391142516,2.446894858720202,0.9561505865006754,1.6967384312903109,-1,0.0,1,0,-1.8154717333559075e-05,1,1.0524023518698995,3.0859382733158576,3.0859382733158576,3.0859382733158576,3.0859382733158576,6.420129471621256,6.6386870706552745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,8,4
2024-12-05 19:53:00+00:00,12713,BTCUSDT,1,99564.90000000001,99598.8,99208.1,99234.40000000001,160.85999999999936,0.9522348511261418,2.194338049025795,-0.5555475052465368,-1.8490769657013935,-1.8490769657013935,2.4288200919903633,2.4288200919903633,0.01114690175467993,-0.11675045814888607,-1,0.0,-1,0,-9.355777433817103e-05,0,0.3232624642546326,0.3232624642546326,1.6324754444858405,1.6324754444858405,1.6324754444858405,1.9178167350491186,1.9178167350491186,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,8,2
2024-12-06 00:41:00+00:00,13001,BTCUSDT,-1,97232.90000000001,97810.0,97219.90000000001,97673.0,175.3283333333328,0.966250610138763,4.188627997086559,0.47366058056386945,1.8691806018830097,1.8691806018830097,3.3656853332127,3.3656853332127,0.9440016349883736,1.2916567723948291,1,0.0,-1,1,-5.3874498059136576e-05,0,2.4474081960511755,2.7126248847400176,2.7126248847400176,2.8443776913790235,2.8443776913790235,2.8443776913790235,2.8443776913790235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,8,6
2024-12-06 17:39:00+00:00,14019,BTCUSDT,-1,99608.0,99840.1,99607.90000000001,99790.40000000001,87.00000000000024,0.700997141064082,5.232740980947071,0.6134073589477365,1.976409053630902,1.976409053630902,2.6689655172106606,2.6689655172106606,0.9522161330632161,-0.30573901455501495,1,0.0,1,0,4.5019523638741475e-05,0,0.001149425287423224,0.001149425287423224,0.001149425287423224,0.001149425287423224,0.001149425287423224,0.001149425287423224,0.001149425287423224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7
2024-12-06 23:11:00+00:00,14351,BTCUSDT,1,100413.1,100413.1,100256.40000000001,100301.3,54.314999999999664,0.32368733003277317,5.645773490376329,-0.6998072828994107,-1.9505526438812302,-1.9505526438812302,2.885022553569236,2.885022553569236,0.044658842251790114,-0.1668590440183162,-1,0.0,-1,0,-4.837564707967553e-05,0,1.2482739574703734,2.1025499401638186,2.1025499401638186,2.1025499401638186,2.1025499401638186,2.1025499401638186,2.1025499401638186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,8,7
